Prey ,1, Predator ,1, Grass ,1
Prey ,2, Predator ,2, Grass ,1
Prey ,4, Predator ,4, Grass ,1
Prey ,8, Predator ,8, Grass ,1
Prey ,0, Predator ,16, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
Prey ,0, Predator ,0, Grass ,1
